iter	Passed	Remaining
781	23374	66296
782	23401	66259
783	23428	66220
784	23456	66185
785	23484	66149
786	23513	66117
787	23543	66089
788	23573	66058
789	23603	66029
790	23631	65994
791	23660	65961
792	23687	65925
793	23717	65894
794	23746	65863
795	23774	65827
796	23802	65792
797	23831	65759
798	23858	65723
799	23888	65692
800	23915	65655
801	23944	65622
802	23974	65592
803	24002	65557
804	24031	65527
805	24061	65496
806	24102	65497
807	24129	65461
808	24160	65434
809	24191	65406
810	24219	65371
811	24248	65338
812	24277	65306
813	24313	65295
814	24341	65259
815	24368	65222
816	24394	65181
817	24433	65176
818	24460	65138
819	24488	65103
820	24517	65072
821	24547	65041
822	24576	65009
823	24605	64977
824	24635	64946
825	24663	64912
826	24706	64919
827	24735	64885
828	24762	64849
829	24791	64815
830	24819	64782
831	24847	64748
832	24875	64713
833	24903	64677
834	24934	64650
835	24962	64614
836	25004	64618
837	25035	64590
838	25062	64553
839	25092	64523
840	25119	64485
841	25155	64472
842	25188	64449
843	25229	64448
844	25257	64414
845	25288	64386
846	25328	64384
847	25355	64345
848	25395	64342
849	25421	64302
850	25448	64264
851	25477	64232
852	25505	64197
853	25535	64167
854	25564	64135
855	25594	64104
856	25622	64070
857	25650	64036
858	25679	64004
859	25717	63995
860	25745	63960
861	25773	63924
862	25801	63891
863	25830	63858
864	25858	63824
865	25886	63790
866	25915	63757
867	25942	63721
868	25971	63689
869	26000	63657
870	26030	63626
871	26057	63590
872	26086	63556
873	26115	63526
874	26143	63491
875	26172	63458
876	26200	63423
877	26229	63393
878	26257	63358
879	26287	63328
880	26320	63305
881	26349	63273
882	26377	63240
883	26404	63203
884	26431	63166
885	26457	63127
886	26483	63089
887	26512	63056
888	26541	63024
889	26570	62993
890	26600	62963
891	26628	62930
892	26658	62899
893	26687	62867
894	26717	62838
895	26746	62806
896	26774	62772
897	26802	62737
898	26831	62706
899	26860	62674
900	26888	62640
901	26916	62606
902	26945	62574
903	26974	62541
904	27003	62511
905	27032	62479
906	27062	62450
907	27091	62417
908	27119	62384
909	27148	62351
910	27177	62319
911	27207	62289
912	27235	62257
913	27264	62225
914	27347	62317
915	27378	62288
916	27406	62254
917	27433	62218
918	27460	62182
919	27491	62154
920	27519	62121
921	27549	62090
922	27575	62052
923	27615	62046
924	27641	62006
925	27681	61999
926	27712	61971
927	27739	61934
928	27768	61903
929	27796	61870
930	27825	61838
931	27853	61803
932	27882	61771
933	27912	61742
934	27940	61708
935	27969	61676
936	27998	61645
937	28027	61613
938	28055	61578
939	28083	61545
940	28112	61513
941	28142	61482
942	28170	61449
943	28211	61443
944	28240	61410
945	28268	61377
946	28299	61350
947	28332	61327
948	28359	61290
949	28385	61253
950	28418	61230
951	28446	61196
952	28475	61164
953	28503	61130
954	28532	61098
955	28560	61064
956	28589	61031
957	28617	60999
958	28647	60968
959	28676	60937
960	28704	60904
961	28732	60869
962	28761	60837
963	28789	60803
964	28818	60771
965	28847	60740
966	28877	60710
967	28906	60678
968	28934	60645
969	28964	60616
970	28996	60590
971	29023	60555
972	29053	60525
973	29084	60499
974	29113	60465
975	29141	60432
976	29170	60401
977	29213	60399
978	29242	60367
979	29276	60344
980	29306	60315
981	29333	60279
982	29361	60245
983	29388	60210
984	29415	60175
985	29443	60140
986	29471	60106
987	29500	60075
988	29527	60040
989	29556	60008
990	29584	59975
991	29622	59960
992	29651	59929
993	29681	59900
994	29709	59867
995	29737	59832
996	29766	59801
997	29794	59768
998	29824	59738
999	29852	59705
1000	29881	59673
1001	29918	59657
1002	29946	59624
1003	29974	59590
1004	30003	59558
1005	30031	59526
1006	30075	59523
1007	30104	59491
1008	30137	59468
1009	30170	59444
1010	30198	59411
1011	30227	59379
1012	30256	59347
1013	30286	59319
1014	30318	59292
1015	30346	59259
1016	30376	59230
1017	30406	59200
1018	30432	59162
1019	30460	59128
1020	30487	59093
1021	30514	59057
1022	30541	59023
1023	30571	58993
1024	30599	58960
1025	30634	58939
1026	30664	58909
1027	30692	58876
1028	30720	58842
1029	30749	58811
1030	30779	58781
1031	30809	58752
1032	30837	58718
1033	30865	58687
1034	30895	58655
1035	30924	58625
1036	30952	58590
1037	30981	58560
1038	31010	58529
1039	31038	58496
1040	31067	58463
1041	31106	58452
1042	31136	58422
1043	31169	58397
1044	31198	58367
1045	31228	58336
1046	31260	58311
1047	31293	58287
1048	31321	58253
1049	31348	58218
1050	31375	58184
1051	31401	58146
1052	31430	58115
1053	31459	58083
1054	31488	58052
1055	31516	58018
1056	31559	58012
1057	31587	57979
1058	31614	57945
1059	31644	57915
1060	31671	57880
1061	31705	57857
1062	31733	57825
1063	31774	57814
1064	31802	57781
1065	31830	57748
1066	31859	57716
1067	31888	57685
1068	31916	57652
1069	31956	57641
1070	31984	57608
1071	32012	57574
1072	32041	57543
1073	32071	57513
1074	32100	57481
1075	32128	57448
1076	32157	57417
1077	32186	57385
1078	32213	57351
1079	32252	57337
1080	32280	57304
1081	32309	57272
1082	32335	57237
1083	32362	57201
1084	32389	57167
1085	32417	57133
1086	32448	57106
1087	32487	57091
1088	32515	57058
1089	32542	57024
1090	32571	56993
1091	32601	56962
1092	32631	56933
1093	32660	56902
1094	32689	56871
1095	32718	56839
1096	32746	56807
1097	32776	56776
1098	32804	56744
1099	32832	56710
1100	32860	56677
1101	32894	56654
1102	32922	56622
1103	32954	56595
1104	32981	56561
1105	33011	56531
1106	33040	56499
1107	33068	56466
1108	33096	56433
1109	33124	56401
1110	33154	56371
1111	33182	56338
1112	33210	56306
1113	33244	56283
1114	33278	56259
1115	33304	56224
1116	33330	56187
1117	33357	56152
1118	33385	56119
1119	33411	56084
1120	33442	56056
1121	33471	56024
1122	33500	55992
1123	33530	55963
1124	33558	55930
1125	33585	55896
1126	33615	55866
1127	33644	55835
1128	33673	55803
1129	33702	55772
1130	33730	55740
1131	33761	55712
1132	33801	55698
1133	33831	55669
1134	33860	55638
1135	33890	55609
1136	33918	55576
1137	33947	55545
1138	33975	55512
1139	34004	55480
1140	34032	55448
1141	34060	55415
1142	34098	55398
1143	34127	55367
1144	34156	55335
1145	34183	55302
1146	34212	55270
1147	34246	55248
1148	34277	55220
1149	34307	55190
1150	34334	55156
1151	34361	55121
1152	34388	55087
1153	34415	55052
1154	34444	55022
1155	34474	54992
1156	34503	54960
1157	34530	54926
1158	34560	54896
1159	34588	54864
1160	34616	54832
1161	34645	54800
1162	34673	54767
1163	34702	54737
1164	34730	54705
1165	34760	54674
1166	34789	54643
1167	34819	54614
1168	34849	54584
1169	34877	54551
1170	34906	54520
1171	34936	54491
1172	34964	54458
1173	34993	54427
1174	35021	54395
1175	35048	54360
1176	35076	54328
1177	35104	54295
1178	35145	54283
1179	35187	54271
1180	35214	54238
1181	35250	54218
1182	35278	54185
1183	35306	54152
1184	35334	54119
1185	35360	54084
1186	35394	54060
1187	35457	54081
1188	35496	54066
1189	35535	54049
1190	35563	54016
1191	35590	53983
1192	35619	53951
1193	35649	53921
1194	35679	53892
1195	35706	53858
1196	35735	53826
1197	35763	53794
1198	35791	53762
1199	35823	53735
1200	35852	53703
1201	35882	53674
1202	35910	53641
1203	35940	53611
1204	35970	53582
1205	35999	53551
1206	36028	53520
1207	36055	53486
1208	36087	53460
1209	36117	53429
1210	36146	53398
1211	36189	53388
1212	36217	53356
1213	36248	53328
1214	36278	53298
1215	36307	53266
1216	36336	53235
1217	36367	53207
1218	36396	53176
1219	36423	53141
1220	36449	53106
1221	36475	53071
1222	36502	53037
1223	36531	53006
1224	36559	52973
1225	36588	52942
1226	36626	52924
1227	36654	52892
1228	36684	52862
1229	36713	52830
1230	36741	52798
1231	36769	52766
1232	36796	52732
1233	36826	52702
1234	36853	52669
1235	36882	52637
1236	36911	52606
1237	36940	52576
1238	36971	52547
1239	36999	52515
1240	37028	52484
1241	37066	52465
1242	37095	52435
1243	37128	52410
1244	37175	52404
1245	37204	52372
1246	37235	52344
1247	37266	52316
1248	37295	52284
1249	37323	52252
1250	37348	52216
1251	37376	52183
1252	37404	52151
1253	37447	52140
1254	37477	52110
1255	37505	52077
1256	37533	52045
1257	37563	52014
1258	37591	51983
1259	37620	51952
1260	37649	51920
1261	37684	51898
1262	37722	51879
1263	37749	51846
1264	37778	51814
1265	37809	51785
1266	37838	51754
1267	37865	51722
1268	37893	51689
1269	37923	51659
1270	37953	51629
1271	37981	51597
1272	38036	51601
1273	38063	51568
1274	38091	51536
1275	38121	51505
1276	38150	51474
1277	38177	51441
1278	38207	51410
1279	38238	51383
1280	38266	51350
1281	38295	51319
1282	38325	51289
1283	38352	51256
1284	38380	51223
1285	38407	51190
1286	38438	51161
1287	38466	51129
1288	38494	51096
1289	38523	51066
1290	38552	51034
1291	38580	51003
1292	38615	50978
1293	38646	50950
1294	38678	50924
1295	38706	50891
1296	38736	50861
1297	38765	50830
1298	38793	50799
1299	38822	50768
1300	38851	50737
1301	38879	50705
1302	38908	50673
1303	38936	50641
1304	38965	50610
1305	38994	50579
1306	39023	50548
1307	39052	50517
1308	39081	50487
1309	39111	50456
1310	39139	50424
1311	39167	50392
1312	39198	50363
1313	39229	50335
1314	39259	50305
1315	39291	50278
1316	39318	50245
1317	39347	50214
1318	39377	50184
1319	39406	50153
1320	39432	50119
1321	39460	50086
1322	39490	50056
1323	39520	50027
1324	39548	49995
1325	39581	49969
1326	39608	49936
1327	39635	49902
1328	39661	49867
1329	39687	49833
1330	39717	49803
1331	39745	49771
1332	39774	49740
1333	39809	49717
1334	39837	49685
1335	39866	49653
1336	39895	49623
1337	39923	49591
1338	39951	49558
1339	39979	49526
1340	40007	49494
1341	40037	49464
1342	40065	49432
1343	40094	49402
1344	40125	49373
1345	40170	49362
1346	40200	49333
1347	40235	49308
1348	40262	49276
1349	40292	49246
1350	40322	49216
1351	40363	49200
1352	40390	49166
1353	40415	49131
1354	40443	49098
1355	40471	49066
1356	40499	49034
1357	40529	49005
1358	40558	48974
1359	40586	48942
1360	40629	48928
1361	40658	48898
1362	40687	48866
1363	40716	48835
1364	40744	48803
1365	40773	48772
1366	40801	48741
1367	40829	48709
1368	40859	48679
1369	40888	48648
1370	40916	48616
1371	40961	48603
1372	40989	48572
1373	41018	48541
1374	41048	48512
1375	41077	48481
1376	41105	48449
1377	41134	48418
1378	41163	48387
1379	41193	48357
1380	41225	48330
1381	41255	48300
1382	41285	48271
1383	41314	48239
1384	41341	48206
1385	41370	48175
1386	41397	48142
1387	41423	48109
1388	41451	48076
1389	41480	48046
1390	41509	48014
1391	41550	47997
1392	41578	47965
1393	41606	47934
1394	41648	47918
1395	41678	47888
1396	41706	47856
1397	41734	47824
1398	41762	47792
1399	41789	47759
1400	41818	47729
1401	41846	47697
1402	41876	47667
1403	41905	47635
1404	41947	47620
1405	41976	47589
1406	42003	47556
1407	42034	47528
1408	42069	47503
1409	42098	47472
1410	42127	47442
1411	42156	47410
1412	42186	47381
1413	42218	47354
1414	42248	47323
1415	42276	47291
1416	42303	47259
1417	42334	47231
1418	42361	47197
1419	42386	47162
1420	42414	47130
1421	42441	47098
1422	42470	47067
1423	42500	47036
1424	42529	47006
1425	42557	46974
1426	42586	46943
1427	42615	46912
1428	42644	46881
1429	42674	46852
1430	42703	46821
1431	42731	46790
1432	42759	46758
1433	42794	46733
1434	42822	46701
1435	42850	46670
1436	42880	46640
1437	42909	46609
1438	42938	46578
1439	42966	46546
1440	42996	46516
1441	43025	46486
1442	43054	46456
1443	43087	46429
1444	43115	46398
1445	43147	46370
1446	43179	46342
1447	43213	46317
1448	43238	46282
1449	43265	46249
1450	43294	46218
1451	43322	46187
1452	43352	46157
1453	43380	46125
1454	43409	46094
1455	43449	46076
1456	43477	46044
1457	43507	46014
1458	43535	45982
1459	43563	45950
1460	43591	45918
1461	43636	45905
1462	43665	45873
1463	43692	45841
1464	43735	45825
1465	43764	45794
1466	43792	45762
1467	43821	45732
1468	43850	45700
1469	43877	45668
1470	43905	45636
1471	43934	45605
1472	43963	45575
1473	43992	45544
1474	44022	45514
1475	44050	45483
1476	44078	45451
1477	44107	45420
1478	44135	45388
1479	44201	45396
1480	44247	45382
1481	44276	45352
1482	44305	45320
1483	44332	45288
1484	44360	45256
1485	44389	45225
1486	44418	45195
1487	44445	45162
1488	44472	45130
1489	44499	45097
1490	44528	45065
1491	44555	45033
1492	44590	45008
1493	44630	44988
1494	44658	44956
1495	44686	44925
1496	44715	44894
1497	44744	44863
1498	44771	44831
1499	44801	44801
1500	44828	44769
1501	44858	44738
1502	44887	44707
1503	44916	44677
1504	44944	44645
1505	44972	44614
1506	45001	44583
1507	45028	44551
1508	45057	44520
1509	45086	44489
1510	45128	44471
1511	45157	44441
1512	45190	44414
1513	45218	44381
1514	45246	44350
1515	45275	44319
1516	45302	44286
1517	45330	44255
1518	45357	44222
1519	45385	44190
1520	45413	44159
1521	45442	44128
1522	45471	44098
1523	45500	44066
1524	45527	44034
1525	45555	44003
1526	45582	43970
1527	45613	43941
1528	45642	43911
1529	45671	43880
1530	45699	43849
1531	45729	43818
1532	45760	43790
1533	45789	43759
1534	45831	43741
1535	45859	43709
1536	45887	43677
1537	45915	43646
1538	45944	43615
1539	45974	43585
1540	46003	43555
1541	46031	43523
1542	46060	43493
1543	46089	43462
1544	46117	43430
1545	46145	43399
1546	46179	43373
1547	46207	43342
1548	46236	43311
1549	46265	43280
1550	46296	43251
1551	46323	43219
1552	46350	43186
1553	46377	43153
1554	46407	43124
1555	46436	43094
1556	46466	43064
1557	46498	43036
1558	46526	43004
1559	46555	42974
1560	46585	42944
1561	46614	42913
1562	46642	42882
1563	46669	42850
1564	46699	42820
1565	46729	42790
1566	46757	42759
1567	46785	42727
1568	46815	42697
1569	46844	42667
1570	46872	42635
1571	46902	42606
